,y,m,d,lgrpf,lgm3,lgm1
0.1316444,1988,12,19,-0.010782312,0,0
-0.0105169,1988,12,20,0.036254775,0,0
0.1784415,1988,12,21,-0.036521131,0,0
0.2767048,1988,12,22,0.005033051,0,0
0,1988,12,23,0.003148977,0,0
0,1988,12,27,0.00880007,0,0
-0.4604056,1988,12,28,0.00051214,0,0
-0.2743699,1988,12,29,-0.00514878,0,0
0,1988,12,30,0.012004199,0,0
0.7867869,1988,11,18,-0.102998353,0,0
-0.187533,1988,11,21,-0.020264216,0,0
0.2550547,1988,11,22,0.028488538,0,0
0.0881395,1988,11,23,0.003433176,0,0
0.514878,1988,11,28,0.031762574,0,0
-0.1178826,1988,11,29,-0.003190157,0,0
4.1009928,1988,1,27,0.049207627,0,0
0.1259028,1988,1,28,0.006449398,0,0
-0.7846503,1988,1,29,-0.000512442,0,0
-0.5054984,1988,2,1,-0.003087415,0,0
0.3059098,1988,2,2,0.003087415,0,0
-1.011938,1988,2,3,0.005097412,0,0
-0.2101468,1988,2,4,0,0,0
-2.1336293,1988,11,17,-0.110485837,0,0
-0.1753061,1988,11,11,0.021049227,0,0
-0.1034528,1988,11,14,0.009849766,0,0
0.4840994,1988,11,15,-0.011409173,0,0
-0.5048196,1988,11,10,0.002492371,0,0
0.4894527,1988,11,16,-0.009738657,0,0
-1.1262136,1989,12,22,0.192407147,0.024351183,0.004141879
0,1989,12,26,0.012466716,0,0
-0.7424018,1989,12,27,-0.002584502,0,0
-0.7988739,1989,12,29,0.000796871,0,0
-2.7491545,1989,7,27,-0.080696553,0,0
-0.5196299,1989,7,28,-0.004577904,0,0
3.2687844,1989,12,28,0.07885817,0,0
1.5412757,1989,12,21,0.000403807,0,0
-5.2587642,1989,8,8,-0.074684074,0,0
-0.1545745,1989,8,9,0.002151752,0,0
0.1486395,1989,8,10,0.008969444,0,0
-0.4714476,1989,8,11,-0.002577423,0,0
0.1676815,1989,8,14,0.002343743,0,0
0.3334331,1989,8,15,0.002331162,0,0
0.1775774,1989,8,16,0.006690459,0,0
0.0826216,1989,7,31,-0.015378987,0,0
0.0824647,1989,8,1,-0.006692618,0,0
0.0881817,1989,8,2,0.005980465,0,0
-0.0587679,1989,8,3,-0.001666246,0,0
0.1467708,1989,8,4,-0.004314219,0,0
-0.5188483,1989,8,7,-0.002900141,0,0
-0.6754699,1989,8,25,0.014310833,0,0
0,1989,8,28,0.003039489,0,0
-0.0783871,1989,8,29,0,0,0
0.1926989,1989,8,30,0.004404412,0,0
-0.1926989,1989,8,31,0,0,0
-0.0483086,1989,9,1,0.000461035,0,0
-0.1028346,1989,9,5,0.004583625,0,0
0.7624137,1989,8,17,-0.008518108,0,0
0.160377,1989,8,18,0.002780977,0,0
-0.0415224,1989,8,21,0.006420521,0,0
0.0593056,1989,8,22,0,0,0
-0.0237125,1989,8,23,-0.006420521,0,0
-0.4769894,1989,8,24,-0.004411476,0,0
1.007414,1989,7,19,0.028014138,0,0
0.040985,1989,7,20,0.001092565,0,0
0.1577236,1989,7,21,-0.008595807,0,0
-0.0525109,1989,7,24,-0.017487683,0,0
-0.0818101,1989,7,25,-0.004659857,0,0
0.1226574,1989,7,26,-0.00565864,0,0
-0.8719173,1989,9,22,0.02265594,0,0
0.2906181,1989,9,25,0.004035806,0,0
0.0767774,1989,9,26,0.001559407,0,0
0.1178547,1989,9,27,0.001332193,0,0
-0.2952387,1989,9,28,0.005944808,0,0
0,1989,9,29,0.005864531,0,0
0,1989,10,2,-0.002596686,0,0
-0.1186598,1989,10,3,0.002596686,0,0
0.0593704,1989,10,4,0.000431276,0,0
0.0237255,1989,10,5,-0.004114514,0,0
-0.3811715,1989,10,6,-0.00196267,0,0
-0.0119657,1989,10,9,0.003266206,0,0
-0.1198385,1989,10,10,0.003241825,0,0
-0.1021234,1989,10,11,0.001719129,0,0
0.2518699,1989,10,12,0.004692815,0,0
5.98E-03,1989,10,13,0.008820597,0,0
