,sample_len,p1,p2,train_loss,train_acc,test_loss,test_acc,epoch,batch_size
95,6,192,192,0.6762020614941915,0.5583333373069763,0.701515507698059,0.5095000267028809,60,200
96,9,24,24,0.6902603081067403,0.5326666831970215,0.6950036573410034,0.5080000162124634,30,50
97,9,24,24,0.6905724830627441,0.5323333144187927,0.694808897972107,0.5084999799728394,30,100
98,9,24,24,0.6899659412701925,0.5383333563804626,0.6950080461502075,0.5034999847412109,30,200
99,9,24,24,0.6906740082105001,0.5326666831970215,0.6940957431793213,0.5070000290870667,60,50
100,9,24,24,0.6903976626396179,0.5346666574478149,0.6953743882179261,0.5070000290870667,60,100
101,9,24,24,0.6903065686225891,0.5336666703224182,0.695950231552124,0.5049999952316284,60,200
102,9,24,48,0.690843322912852,0.5306666493415833,0.6956561274528503,0.5084999799728394,30,50
103,9,24,48,0.6898459841410319,0.5389999747276306,0.6955732259750366,0.5049999952316284,30,100
104,9,24,48,0.6905824602444967,0.531333327293396,0.6950960817337036,0.5099999904632568,30,200
105,9,24,48,0.690840311686198,0.531333327293396,0.6940037050247192,0.5080000162124634,60,50
106,9,24,48,0.6840075155893962,0.5523333549499512,0.6977788348197937,0.5055000185966492,60,100
107,9,24,48,0.690363695939382,0.5346666574478149,0.6952431058883667,0.5055000185966492,60,200
108,9,24,96,0.6897148807843526,0.5393333435058594,0.6947091417312622,0.5005000233650208,30,50
109,9,24,96,0.6890170849164327,0.5403333306312561,0.6962996010780335,0.5040000081062317,30,100
110,9,24,96,0.6897449107170105,0.5333333611488342,0.6951089844703674,0.5024999976158142,30,200
111,9,24,96,0.6736213933626811,0.5649999976158142,0.7073370323181153,0.49399998784065247,60,50
112,9,24,96,0.6828472844759623,0.5496666431427002,0.698222695350647,0.503000020980835,60,100
113,9,24,96,0.686975375811259,0.5456666946411133,0.696412745475769,0.5044999718666077,60,200
114,9,24,192,0.6890919858614604,0.5383333563804626,0.6960021800994873,0.5024999976158142,30,50
115,9,24,192,0.6906979940732321,0.5320000052452087,0.6949266061782837,0.5090000033378601,30,100
116,9,24,192,0.6893748329480489,0.5376666784286499,0.6970188398361206,0.5059999823570251,30,200
117,9,24,192,0.6778335447311401,0.5543333292007446,0.6998174600601196,0.49549999833106995,60,50
118,9,24,192,0.6908712469736735,0.5323333144187927,0.6940975384712219,0.5074999928474426,60,100
119,9,24,192,0.6849958848953247,0.5426666736602783,0.6981206698417664,0.5074999928474426,60,200
120,9,48,24,0.6890542384783427,0.5429999828338623,0.6964870843887329,0.5015000104904175,30,50
121,9,48,24,0.6903673135439555,0.5366666913032532,0.6948903994560242,0.5044999718666077,30,100
122,9,48,24,0.6898339502016704,0.5386666655540466,0.6958870458602905,0.5034999847412109,30,200
123,9,48,24,0.6903121755917867,0.5326666831970215,0.695649522781372,0.5065000057220459,60,50
124,9,48,24,0.6840921174685161,0.5483333468437195,0.6989836730957031,0.4984999895095825,60,100
125,9,48,24,0.6868404335975647,0.5453333258628845,0.696703504562378,0.5009999871253967,60,200
126,9,48,48,0.6891650117238363,0.5386666655540466,0.6975640239715576,0.503000020980835,30,50
127,9,48,48,0.6889927565256755,0.5426666736602783,0.6966149883270264,0.5034999847412109,30,100
128,9,48,48,0.6899098175366719,0.5373333096504211,0.695109748840332,0.5,30,200
129,9,48,48,0.6905616995493571,0.5333333611488342,0.6950325326919555,0.5084999799728394,60,50
