,y,date,m,d,lgrpf,lgrau,lgm3,lgm1
319,1988,1988/5/10,5,10,-0.00198535,0.002193288,0,0
320,1988,1988/5/11,5,11,0.00074557,0.002375717,0,0
321,1988,1988/5/12,5,12,-0.000248381,0.001833487,0,0
322,1988,1988/5/13,5,13,0.000248381,-0.001446846,0,0
323,1988,1988/5/16,5,16,0.00420089,0.003608117,0,0
324,1988,1988/5/17,5,17,0.002452262,0.001387141,0,0
325,1988,1988/5/18,5,18,-0.008145574,-0.000669101,0,0
326,1988,1988/5/19,5,19,0.000498044,0.003714791,0,0
327,1988,1988/3/24,3,24,-0.012369583,-0.003762623,0,0
328,1988,1988/3/25,3,25,0.0017888,-0.002061794,0,0
329,1988,1988/3/28,3,28,0.001781462,0.002013956,0,0
330,1988,1988/3/29,3,29,-0.003058424,0.000955754,0,0
331,1988,1988/3/30,3,30,0.00255018,-0.001099299,0,0
332,1988,1988/3/31,3,31,0,0.003052044,0,0
333,1988,1988/4/4,4,4,-0.001783553,0,0,0
334,1988,1988/4/5,4,5,-0.005653617,-0.003195636,0,0
335,1988,1988/4/6,4,6,0.000517017,-0.003605321,0,0
336,1988,1988/4/7,4,7,0.006411313,-0.00256593,0,0
337,1988,1988/4/8,4,8,-0.004606585,0.002131273,0,0
338,1988,1988/4/11,4,11,0.025237898,-0.00058022,0,0
339,1988,1988/6/10,6,10,-0.0291144,0.008433168,0,0
340,1988,1988/6/13,6,13,-0.007858378,-0.008239675,0,0
341,1988,1988/6/14,6,14,0.010446553,-0.002424878,0,0
342,1988,1988/6/15,6,15,-0.007811262,0.005316972,0,0
343,1988,1988/6/16,6,16,0.003402143,0.001821748,0,0
344,1988,1988/6/17,6,17,-0.005509095,-0.003506461,0,0
345,1988,1988/6/20,6,20,-0.01204592,0.003793408,0,0
346,1988,1988/6/21,6,21,-0.002996085,-0.002445115,0,0
347,1988,1988/6/22,6,22,0.014777916,-0.003039567,0,0
348,1988,1988/6/23,6,23,-0.001853134,-0.000678358,0,0
349,1988,1988/6/24,6,24,-0.009657347,-0.004435345,0,0
350,1988,1988/6/27,6,27,-0.004088149,4.8987E-05,0,0
351,1988,1988/6/28,6,28,-0.002196184,0.000538493,0,0
352,1988,1988/1/4,1,4,0.049620834,0.034457168,0,0
353,1988,1988/1/5,1,5,0.003910388,-0.004542871,0,0
354,1988,1988/1/6,1,6,-0.000730521,0.005355565,0,0
355,1988,1988/1/7,1,7,-0.010608118,0.001890392,0,0
356,1988,1988/1/8,1,8,-0.002002514,0.000359144,0,0
357,1988,1988/1/11,1,11,-0.014282257,0,0,0
358,1988,1988/1/12,1,12,-0.003122562,-0.003152623,0,0
359,1988,1988/1/13,1,13,-0.001045863,0.001353928,0,0
360,1988,1988/1/14,1,14,0.015934484,-0.00045084,0,0
361,1988,1988/1/15,1,15,-0.006611168,-0.000993499,0,0
362,1988,1988/1/18,1,18,0.00962886,-0.004453409,0,0
363,1988,1988/1/19,1,19,0.000500916,0.001550239,0,0
364,1988,1988/1/20,1,20,-0.00251038,0.000500366,0,0
365,1988,1988/1/21,1,21,-0.00176594,-0.000409347,0,0
366,1988,1988/1/22,1,22,-0.004318846,-0.000911044,0,0
367,1988,1988/1/25,1,25,0.002037749,4.55976E-05,0,0
368,1988,1988/1/26,1,26,-0.001272472,-0.0059682,0,0
369,1988,1988/7/21,7,21,-0.016890637,-0.023750832,0,0
370,1988,1988/7/22,7,22,-0.000265056,-0.002497219,0,0
371,1988,1988/7/25,7,25,-0.008838861,-0.003649141,0,0
372,1988,1988/7/26,7,26,-0.00244215,-0.007290846,0,0
373,1988,1988/7/27,7,27,0.005408469,0.00165867,0,0
