BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
0,1995/11/21,-21.69669,35.11998,1.556890075,165.9171143,-18.01120184
-21.97823,1995/11/22,-2.41745,15.58518,-8.309870642,-255.4235948,-36.24805451
2.82394,1995/11/27,100.39175,18.91725,27.81307184,-51.69002722,32.86262249
48.28663,1995/11/28,-11.83042,6.17916,0.513380794,-135.1998616,40.45204239
-4.4692,1995/11/29,-16.61692,23.42135,11.27905085,14.99415237,-5.595858034
-7.83218,1995/11/30,-19.06894,-26.50983,28.07013298,-27.88761504,-6.724561063
-17.95535,1995/12/1,59.31456,10.80435,-4.071670116,108.3932876,-12.35547012
-3.37491,1995/12/4,46.8752,44.49724,-10.19590753,105.7537026,-1.124969523
7.30899,1995/12/5,9.31463,31.93353,-21.48963885,209.9415439,15.72311711
20.73544,1995/12/6,23.19955,18.14763,13.82696883,-35.27682155,16.78326764
-6.71416,1995/12/7,-9.26495,-33.32319,18.36774513,1.967358955,1.116581782
11.18452,1995/12/8,55.29554,-2.13016,-2.037028564,15.70686999,10.03633862
8.92692,1995/12/11,-71.55691,23.06459,-0.509406466,-45.31124379,-15.62212051
-8.92692,1995/12/12,16.26138,-7.8816,11.19316295,82.3889579,-3.354920846
-13.42488,1995/12/13,62.15824,34.73074,-1.016369024,97.98698591,-20.18413309
-21.3413,1995/12/14,25.07086,-28.66734,-27.02081563,125.4570112,-4.498130717
5.62631,1995/12/15,89.96582,-4.54465,10.21629457,20.25545033,4.498130717
11.23079,1995/12/18,35.47091,-86.01497,-26.61251912,249.8685233,13.46650635
10.08294,1995/12/19,-123.16472,29.57534,25.59197046,589.4482246,-2.241519956
-5.59874,1995/12/20,-34.20557,-43.19402,-4.595439071,297.0066945,15.66639871
5.03919,1995/12/21,-2.28998,31.82436,-8.69356333,502.8744071,-10.06476654
0,1995/12/22,41.036,1.2269,-5.634534376,-1631.855591,-5.60163217
0,1995/12/26,29.39781,10.45721,-9.749629139,179.6345731,5.60163217
-11.20616,1995/12/27,51.52897,-3.68991,6.16020645,652.3399163,-10.08814581
-0.561,1995/12/28,-31.29258,-8.61631,9.735825157,-580.7848568,1.122063
0,1995/12/29,42.41409,18.13227,-1.02379652,186.3483711,5.605970598
24.0607,1996/1/2,57.37714,50.90312,-3.585189629,380.7865693,40.15077737
47.17321,1996/1/3,17.50308,13.91885,23.50581826,188.7564803,47.47641718
9.37346,1996/1/4,4.36477,-16.94804,7.637515572,-32.11604082,-8.793614382
18.138,1996/1/5,75.68181,6.36641,-12.73666471,-70.90679661,12.08663475
-22.50662,1996/1/9,-66.96541,-56.82839,-3.058411971,17.8355274,4.386813322
59.57944,1996/1/10,-61.3854,-83.06617,-13.27806365,-180.1933318,38.19677058
-10.87096,1996/1/11,-198.7758,27.66271,14.29777363,-523.5239211,-9.789986205
6.52584,1996/1/12,-126.63911,-3.41389,-2.549724032,-312.7331331,-28.40678437
-44.24091,1996/1/15,30.82638,-14.90499,10.6987961,-602.2013558,-5.484209365
22.44987,1996/1/16,-78.68301,38.09745,36.48277515,121.0285384,30.62275466
1.09215,1996/1/17,111.63776,-18.23548,13.09937945,516.6408639,13.05822528
-2.18458,1996/1/18,152.0762,48.96452,7.037180645,-135.9641592,-25.06285486
17.44595,1996/1/19,-54.68628,50.83172,16.54266201,-188.1714465,25.06285486
33.60338,1996/1/22,-74.00298,28.95296,-0.500368088,-87.0034348,40.01745617
15.62891,1996/1/23,-132.61931,-22.59985,3.001344155,609.1992907,1.076451813
-12.39072,1996/1/24,52.58445,42.09336,17.46662149,84.43415044,-1.076451813
44.0149,1996/1/25,-147.39642,-21.5992,14.41931598,-275.0642109,34.31480425
-1.06824,1996/1/26,14.72186,45.48122,8.925900235,-416.5259722,-8.553316047
-21.42024,1996/1/29,-69.13304,27.28944,-12.89886318,410.954522,0
